USER_ID,ITEM_ID,EVENT_TYPE,TIMESTAMP
u0090,i1035,view,1766548464
u0039,i1054,view,1766562761
u0035,i1066,view,1766299936
u0082,i1002,view,1766126435
u0055,i1074,purchase,1766500721
u0027,i1075,view,1766780143
u0061,i1028,purchase,1766534507
u0050,i1070,view,1766063743
u0080,i1006,view,1765615880
u0097,i1094,add_to_cart,1765180540
u0046,i1009,view,1766392896
u0042,i1005,add_to_cart,1765688675
u0048,i1045,view,1766039137
u0053,i1047,add_to_cart,1765767417
u0082,i1098,purchase,1764946489
u0083,i1049,view,1767142368
u0034,i1083,add_to_cart,1766959466
u0070,i1013,view,1766427973
u0029,i1047,view,1767080884
u0087,i1031,view,1766063461
u0043,i1071,view,1766757394
u0010,i1083,view,1766890813
u0095,i1047,view,1766027546
u0043,i1028,view,1766772028
u0009,i1084,view,1765731077
u0086,i1032,view,1765704419
u0051,i1033,view,1764840891
u0005,i1079,view,1764621782
u0065,i1080,view,1764964083
u0067,i1063,view,1765392309
u0038,i1095,view,1766881885
u0041,i1002,purchase,1766566419
u0094,i1042,view,1764616959
u0069,i1025,view,1765198363
u0007,i1097,view,1766812424
u0049,i1014,view,1765032053
u0061,i1044,purchase,1765372099
u0098,i1057,view,1764987355
u0050,i1032,add_to_cart,1764619724
u0074,i1051,view,1766535041
u0075,i1052,view,1766142582
u0039,i1016,view,1766472680
u0003,i1082,view,1766520750
u0030,i1011,view,1764627155
u0046,i1100,add_to_cart,1764706006
u0016,i1039,view,1766810333
u0042,i1003,view,1764699272
u0046,i1041,view,1765656579
u0026,i1057,view,1766444745
u0039,i1096,view,1765299599
u0031,i1048,purchase,1766328172
u0050,i1072,view,1766864513
u0018,i1023,view,1766067377
u0041,i1023,add_to_cart,1766975286
u0084,i1011,purchase,1767120394
u0085,i1097,view,1765845055
u0060,i1017,view,1766927738
u0025,i1066,view,1766454236
u0086,i1004,purchase,1764729048
u0022,i1022,view,1766725050
u0071,i1054,view,1767076522
u0068,i1036,view,1765168321
u0018,i1043,view,1766711762
u0087,i1031,purchase,1765505852
u0035,i1041,add_to_cart,1765298986
u0055,i1097,view,1764858177
u0035,i1002,purchase,1766455225
u0099,i1084,add_to_cart,1765998420
u0063,i1070,view,1766088504
u0029,i1005,view,1765435635
u0009,i1040,view,1765098015
u0054,i1002,add_to_cart,1765840375
u0070,i1025,view,1766537495
u0074,i1064,view,1764842278
u0012,i1014,add_to_cart,1767133175
u0094,i1071,view,1766645994
u0099,i1074,view,1767137574
u0069,i1062,view,1764932996
u0029,i1056,view,1765960659
u0014,i1012,view,1764919365
u0068,i1068,view,1766043005
u0016,i1029,view,1766101934
u0022,i1096,add_to_cart,1765499848
u0019,i1052,add_to_cart,1766246341
u0081,i1006,view,1765398292
u0037,i1081,add_to_cart,1766482299
u0062,i1018,purchase,1766466914
u0011,i1017,view,1764966247
u0099,i1038,view,1764834304
u0091,i1081,add_to_cart,1765315314
u0068,i1011,view,1765683059
u0094,i1099,add_to_cart,1765057484
u0010,i1004,view,1765306975
u0077,i1090,view,1766583452
u0087,i1096,add_to_cart,1766734448
u0065,i1043,view,1766744804
u0032,i1029,view,1766485705
u0090,i1005,add_to_cart,1766043156
u0072,i1041,purchase,1765640508
u0007,i1047,add_to_cart,1767085649
u0044,i1014,view,1766523112
u0022,i1099,view,1765079036
u0089,i1079,view,1764890074
u0022,i1085,view,1766899668
u0078,i1080,view,1764789111
u0034,i1008,view,1765542081
u0083,i1019,view,1767191313
u0013,i1055,view,1765690088
u0051,i1058,view,1765639249
u0001,i1010,view,1764647860
u0056,i1085,purchase,1765541211
u0073,i1085,purchase,1767188731
u0049,i1063,view,1764860708
u0068,i1050,view,1766897752
u0059,i1047,add_to_cart,1765058484
u0017,i1028,add_to_cart,1766462683
u0019,i1054,view,1765202500
